Date,Oil Investments,Gold Investments,Comp Stock,Other sharesInvestments
02-06-2011,0.00109671,0.003748981,0.001707627,0.006496882
03-06-2011,-0.001294692,0.000324781,-0.00768558,-0.027523817
06-06-2011,-0.012066215,0.005844156,-0.015723319,-0.013965617
07-06-2011,0.001110326,-0.002582311,-0.017749403,0.0100167
08-06-2011,0.016031458,-0.004692557,0.000602349,0.002665956
09-06-2011,0.011709834,0,-0.002257407,0.008667854
10-06-2011,-0.025993134,-0.005527557,-0.016863203,-0.016606886
13-06-2011,-0.021148036,-0.001961746,0.002147877,-0.001286689
14-06-2011,0.022325103,-0.006715807,0.017881185,0.019700543
15-06-2011,-0.045687833,0.009069921,-0.017115889,-0.020951837
16-06-2011,0.001265422,-0.00424906,-0.004866109,-0.01252824
17-06-2011,-0.020326488,0.009354998,-0.015069505,0.014810787
20-06-2011,0.002257579,0.004227642,-0.015424918,0.007243688
21-06-2011,0.005041296,0.000485751,0.031650358,0.034679283
22-06-2011,0.013447172,0.005016993,-0.008269275,-0.013386146
23-06-2011,-0.044860994,-0.01900161,0.026719599,0.01320252
24-06-2011,0.002094818,-0.00541694,-0.014732989,-0.008292135
27-06-2011,-0.002640555,-0.01105793,0.017435223,0.045183053
28-06-2011,0.024820739,0.000667557,0.00969769,0.005465868
29-06-2011,0.020990312,0.003502335,-0.003638973,0.009043672
30-06-2011,0.004744333,0.000830979,0.004879652,0.001518327
01-07-2011,-0.005141658,-0.014945201,0.022611499,0.024451073
05-07-2011,0.022255036,0.018206339,0.017974681,0.017661926
06-07-2011,-0.002579447,0.011423841,0.006667979,0.004690652
07-07-2011,0.020999276,0.000163693,0.015465133,0.011905332
08-07-2011,-0.025329281,0.009165303,0.007026848,0.00710526
11-07-2011,-0.010810811,0.009082063,-0.015873854,-0.026250669
12-07-2011,0.023644388,-0.003214401,-0.000706268,-0.006210336
13-07-2011,0.006467509,0.018381167,0.012070692,0.010746599
14-07-2011,-0.023357813,0.007283091,-0.00069826,-0.01461356
15-07-2011,0.015561358,-0.002200566,0.019984875,0.011835678
18-07-2011,-0.013368984,0.007561437,0.02433415,-0.006294903
19-07-2011,0.016155931,0.001250782,0.008159363,0.030870321
20-07-2011,0.006359627,-0.009369144,0.02666845,-0.011510571
21-07-2011,0.008663745,0.009457755,0.00100808,-0.010855931
22-07-2011,0.005759903,0.00062461,0.015518061,0.015524586
25-07-2011,-0.005626444,0.007178527,0.013221421,-0.013994083
26-07-2011,0.006466606,-0.000464828,0.012321248,0.003231945
27-07-2011,-0.022186528,0.007595722,-0.02682136,0.038939263
28-07-2011,0.000821355,-0.007076923,-0.001961352,0.006201645
29-07-2011,-0.018465326,0.00929656,-0.003419945,-0.006163421
01-08-2011,-0.007316054,-0.003377341,0.016057156,-0.00539276
02-08-2011,-0.012634239,0.009088108,-0.019760537,-0.043466518
03-08-2011,-0.020366816,0.019233705,0.009410933,-0.008219131
04-08-2011,-0.055730924,0.006140482,-0.038719217,-0.040388697
05-08-2011,0.001613833,-0.012354868,-0.009937173,0.006055197
08-08-2011,-0.06467948,0.020648078,-0.054627709,-0.044400593
